epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
41,132.173,0.42102,3.98071,0.00429,0.77432,0.66401,0.75698,0.7302,0.29176,3.36744,0.00329,3.4736e-05,3.4736e-05,3.4736e-05
42,134.528,0.37573,3.89314,0.00374,0.73253,0.69779,0.75259,0.72629,0.32398,3.4355,0.00355,3.14294e-05,3.14294e-05,3.14294e-05
43,136.87,0.36235,3.82905,0.00356,0.62814,0.76721,0.7513,0.71615,0.36507,3.52483,0.00398,2.81228e-05,2.81228e-05,2.81228e-05
44,139.292,0.3487,3.83259,0.0035,0.61348,0.77276,0.75331,0.71515,0.3684,3.58262,0.00408,2.48162e-05,2.48162e-05,2.48162e-05
45,141.734,0.35656,3.82287,0.00345,0.63435,0.79345,0.76652,0.72928,0.34501,3.59553,0.00391,2.15096e-05,2.15096e-05,2.15096e-05
46,144.272,0.33629,3.81127,0.00343,0.63489,0.78113,0.76926,0.73893,0.31411,3.56283,0.00358,1.8203e-05,1.8203e-05,1.8203e-05
47,146.667,0.34388,3.81884,0.00331,0.67773,0.75163,0.77043,0.74023,0.30313,3.53451,0.00345,1.48964e-05,1.48964e-05,1.48964e-05
48,149.039,0.33184,3.74755,0.00343,0.67229,0.77293,0.76959,0.74048,0.29325,3.50823,0.00336,1.15898e-05,1.15898e-05,1.15898e-05
49,151.333,0.33457,3.77252,0.00349,0.67937,0.78114,0.77175,0.74326,0.2958,3.47564,0.00342,8.2832e-06,8.2832e-06,8.2832e-06
50,153.581,0.35533,3.74507,0.00356,0.72131,0.7853,0.77864,0.74603,0.29706,3.46995,0.00343,4.9766e-06,4.9766e-06,4.9766e-06
